date,player,team,claim_type,direction,quote,source_file
2026-07-14,Maxime Raynaud,SAC,depth,down,"62nd post-deadline with Sabonis not playing at all post-ASB + LaVine/Murray/Hunter out; 'now Sabonis is there. So Raynaud will be the backup' — though 'maybe Sabonis gets traded. So there's some real value here'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Gui Santos,GSW,hype,down,"72nd post-ASB rode Butler's injury + Steph absences; 'I don't feel confident about Gui being in that role and playing 31 minutes... it will come unstuck when Jimmy returns anyway'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Brandin Podziemski,GSW,role,up,"92-spot rise, 61st post-ASB — listed among the risers WITHOUT the skepticism applied to Santos/Lindenberg; thin GSW rotation",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Isaiah Collier,UTA,role,down,"60th post-ASB 'because Keyonte George was injured and everyone else was sitting'; room now whole — 'Collier might play 20 minutes a night max. He's got no hope of repeating that'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Ace Bailey,UTA,role,down,"78th post-deadline — 'will it stick? No, because Markkanen and [vets, garbled] and Keyonte and Peterson are all going to be there and they weren't'; 'most likely Ace Bailey comes off the bench'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Jeremiah Fears,NOP,role,mixed,"117th post-deadline (from 181) 'a little bit interesting, but we also have a full season of Dejounte Murray now after he was in and out returning from the Achilles'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,CJ McCollum,ATL,rank,mixed,"'63rd post-deadline is very intriguing. I don't really think we're looking at him at that age at that spot, but that's interesting'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Moses Moody,GSW,injury,down,"'he just is not going to play all season, so we don't worry about that one' — reads like a known long absence; overrides.yaml candidate IF a concrete timeline exists (flagged for Steven)",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,GG Jackson,MEM,depth,down,"109th post-deadline; 'not with Cam Boozer around. Not likely to happen at all'",2026-07-14-if-late-season-surges-maintain.md
2026-07-14,Jarace Walker,IND,hype,down,"96th post-deadline; 'guess what? He won't be' (no mechanism offered beyond the tank context)",2026-07-14-if-late-season-surges-maintain.md
2026-07-16,Ayo Dosunmu,MIN,role,mixed,"'probably going to start and play 30-plus for the Wolves alongside Edwards/LaMelo/McDaniels' BUT 3PT 33->44 and FT 78->88 are career-best outliers — 'what if that all comes back to earth?'; must 'navigate the usage gap with LaMelo and Ant' ('Iodumu' in transcript = Dosunmu)",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Jaylon Tyson,CLE,hype,down,"45% from three won't hold ('double-banging it' — opportunity from Strus/Hunter/Wade absences + lights-out shooting); Strus back full season; 'does Tyson pencil in as a starter? Maybe, maybe not — maybe LeBron is there'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Bobby Portis,MIA,depth,down,"46% from three unsustainable and 'still going to be a backup in Miami' — 'he might hit 39, but he might play 21 minutes a night'; FT also inexplicably fell 85->71",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Cam Spencer,MEM,depth,down,"45% 3PT 'benefited from all the absences'; room refills (Small, Jerome, Pippen, Boozer joins) — 'will Spencer get these minutes? And even if he does, what if he becomes a 39% shooter?'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Dyson Daniels,ATL,hype,up,"3PT 34->19 collapse 'wasn't predictable' — 'he could easily see a 15 percentage point rise... back to 34' -> more scoring/FG/threes (pure shooting regression — the model's own job, Batch-2 precedent)",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Jake LaRavia,LAL,role,mixed,"'pretty sizable role with the Lakers... he's going to play 20-plus minutes' — guessed rotation Luka/Reaves/Mamukelashvili/Kessler + Grimes, 'maybe LaRavia'; 3PT 42->32 is a rebound candidate; NB our board prices 28.6 mpg, ABOVE this read",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,De'Andre Hunter,SAC,hype,mixed,"value hinges on elite shooting: 41% (ATL/CLE year) -> 31%; 'now he goes to Sacramento, the place where dreams die'; 'if he's a 40% guy we're somewhat interested; if he's a 35% guy we're not'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Christian Braun,DEN,hype,down,"'the fakest high-shooting guy ever' — 3PT 40->30, FG 58->52, 'got pretty much figured out'; 'I hope nobody's considering him back as a top 100 guy'; (but 07-17: his 31% steal conversion has bounce-back room)",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Jerami Grant,MEM,other,mixed,"rim finishing 44->63% (career norm mid-to-high 50s — the 44 was the outlier); 2pt 38->52; 'what he does in Memphis I don't know... he's going to have something going on'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Trae Young,WAS,hype,mixed,"hidden efficiency spike (rim 51.7->69, 2pt 47->55.7) in only ~26 mpg — 'if he played his 35 minutes with this new efficiency he would have been probably a top 15 player', but 'I wouldn't buy' it holding (destination WAS inferred from the Ayton/Sarr passages)",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Anfernee Simons,PHI,role,down,"'we know he's a backup now in Philadelphia'; 70% rim finishing (from 58; career lower-half) regresses — 'I would expect that Simons's numbers come down'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Keyonte George,UTA,other,up,"rim finishing 54->65 — 'given the trajectory he was on, I feel better about looking at him and going... he might actually be able to maintain that number'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Aaron Nesmith,IND,role,up,"the collapse was Haliburton-shaped: rim 67->49 ('embarrassing'), 2pt 59->46, FG 51->41; 'is Haliburton worth 10 percentage points? I could argue that. Yeah'; 'I'm very confident Nesmith's going to improve'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Paul George,BOS,other,up,"rim finishing 68->57 in the suspension/injury year after THREE straight seasons 60%+ — 'if he just jumps back to 63, his field goals go up, he gets one to two more shots per game'; 'no real reason to think he maintains that bad of a finishing rate'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Jayson Tatum,BOS,other,up,"return games were the first run back from the Achilles — 'hurts players' efficiencies almost every time in their first run back' (rim 69->60); 'I feel pretty confident he gets back to his best'; Brown departure vacates usage",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Payton Pritchard,BOS,role,up,"role/usage/minutes DID increase — 'he just couldn't shoot'; 2pt back toward 59 expected; Brown's 'ball-hog-ness' (late-clock bad shots for White/Pritchard/Hauser) now gone; start-vs-30-min-bench question open",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Derrick White,BOS,other,up,"2pt 59->49 carrying secondary creation; back to 'tertiary role as the third usage guy behind George and Tatum... at least back to 52-ish'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Onyeka Okongwu,ATL,role,down,"fell without Trae (2pt 63->57; abandoned rim attempts for threes); 'they don't have Trae Young again, so maybe he isn't able to get back that rim rate and that rim percentage'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Deandre Ayton,WAS,depth,mixed,"FG 57->67; 'he plays with Trae Young now'; 'Ayton's not going to start — going to play behind Davis and S[arr]'; 'how confident are we in Anthony Davis staying healthy? Could Ayton find roles of 30 minutes a night? Maybe'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Alex Sarr,WAS,other,up,"deliberate shot-diet change (fewer threes, rim attacks): FG 39->48, 'still not very good for a center... I think he can actually keep that going up and up'; 'in year three Sarr's numbers go up even further field goal-wise'; Trae playmaking factor",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-16,Tari Eason,HOU,other,mixed,"FG 48.7->41.6 was fluke-low ('fueled by a 2% three-point month') and should improve — but 'the minutes opportunity is not super strong... I don't think we can really be drafting Eason'",2026-07-16-surprise-shooting-risers-and-fallers.md
2026-07-17,Victor Wembanyama,SAS,other,mixed,"career-low blocks DESPITE converting 50% of rim contests (league avg 13.5%) — 'you can't block a shot if they don't shoot it'; deterrence structurally caps his block ceiling",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Yves Missi,NOP,other,down,"39% rim-contest->block conversion likely regresses ('do we consider him close to Wembanyama-level shot timing? I don't think so') + a minutes crunch in a jammed room ('eight guys that probably all should be starting')",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Khaman Maluach,PHX,role,up,"31.5% block conversion, 'having a great summer league'; Mark Williams/Ighodaro the other centers — 'could Maluach get himself into a larger role? He would be a really good fantasy player' (hedged; watch for Oct depth pass)",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Paul Reed,DET,role,up,"'the Pistons shipped off Isaiah Stewart, so Reed is now the primary backup... his impact was so good they said we've got to get him more minutes'; 29% block conversion is career-long skill",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Jalen Green,PHX,hype,down,"80% deflection->steal conversion (league avg 49%) — 'he just got really lucky'; the 0.9->1.2 stl jump 'not a real number to continue' (our model already projects 0.97 — shrinkage has it priced)",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Aaron Gordon,DEN,hype,down,"77% deflection->steal conversion — 'more likely he goes from 77 to 59 or to 50 or to 40, really dropping that steal number' (model already at 0.66 stl — priced)",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Shaedon Sharpe,POR,hype,down,"1.5 stl fueled by 70% conversion luck (career ~0.9 at same minutes); 47.2% potential-assist conversion is STRUCTURAL (Clingan/Camara/Avdija finishing), not luck — don't expect an auto-bounce (model already at 1.02 stl)",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Dejounte Murray,NOP,other,mixed,"1.6 stl in 28 mpg rode a 70% conversion — 'what if he converts 45%? It might literally stay at 1.6 just by playing eight more minutes'; full season back from the Achilles (model 1.38 stl — largely priced)",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Nickeil Alexander-Walker,ATL,other,up,"36.7% steal conversion is LOW (league 49%) and he deflected MORE per 100 in the bigger offensive role — 'is there scope for him to actually be better again? Maybe'",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Ty Jerome,MEM,usage,down,"~70% potential-assist conversion (league 58%; his own Cleveland year 52%) — 'do we really believe Ty Jerome is converting at that level? No is your answer'; but the starter question hardened: 'people are assuming Jerome is the starting point guard... he will be'",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Zach LaVine,SAC,role,up,"46% potential-assist conversion dragged by passing to Westbrook/Clifford; 'with no Westbrook there, no DeRozan there, and maybe just improved luck... we see a sizable increase in his assists'",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Keegan Murray,SAC,role,up,"46% potential-assist conversion (same drag); the Batch-1 conditional is now fact — DeRozan AND Westbrook both gone; he also missed the whole stretch run (health re-proof pending)",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Brandin Podziemski,GSW,role,up,"47% potential-assist conversion should bump; 'he might handle the ball even more with Jimmy Butler out for at least half the season' — 'a really strong streak of assists from Podz early in the year'",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Jimmy Butler,GSW,injury,down,"'Jimmy Butler out for at least half the season' — concrete availability window; config/overrides.yaml candidate (flagged for Steven), NOT an analyst-layer matter",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Anthony Edwards,MIN,usage,down,"on-ball% correlates 0.88-0.90 with (potential) assists; Ant + LaMelo both cede on-ball time -> assists drop (LaMelo's offset by more minutes) — same shared-ball fact already priced in the 07-13 Ant -1.5; no new delta",2026-07-17-can-analytics-solve-fantasy.md
2026-07-17,Pelle Larsson,MIA,role,up,"'the Heat lost a lot of depth... no Herro ball handlers, so Larsson's going to have a big role' — but his 65%+ potential-assist conversion may fall to ~50 and mask it ('Palson'/'Lson' in transcript read as Larsson; rank ~182 — notes only)",2026-07-17-can-analytics-solve-fantasy.md
2026-07-20,Coby White,CHA,role,up,"starting PG Charlotte; only 25 mpg in Chicago last year (calf injury, reinjured multiple times); 'as the starting point guard in Charlotte he's playing 32 minimum'; 34% usage in Charlotte 'not going to stick'; FT 90->82 and 3PT (hit 42% over last month in CHA) are bounce-back candidates; career-best 5.1 ast at 37 mpg, 'could we get to six?'",2026-07-20-bounceback-candidates.md
2026-07-20,Jalen Green,PHX,role,mixed,"played just 26 mpg (three hamstring pings, continual injury ramp-up = an artifact); 'why won't he play minimum four extra minutes to get to 30... he plays 33, that's seven extra'; usage 32 'probably goes back to 28-29'; FT 81->75 and 3PT 35->31 should bounce; Phoenix starter (Booker/Brooks/Bridges + Gillespie off bench)",2026-07-20-bounceback-candidates.md
2026-07-20,Myles Turner,MIL,role,up,"27 mpg / 18 usage / benched randomly under Doc Rivers (a 'disaster', now fired) — 'the whole organization was screwed'; Taylor Jenkins now coach; 'one year removed from being really quite good'; 'those 27 minutes should push to 29'; can he get 14 pts / 6 reb / 2 threes / 2 blocks again",2026-07-20-bounceback-candidates.md
2026-07-20,Giannis Antetokounmpo,MIL,depth,mixed,ROSTER FLAG: 'Giannis is now gone' from Milwaukee (per the Turner segment) — contradicts the 07-13 'stays Milwaukee' read; destination CONFIRMED by Steven 2026-07-20 — traded to MIAMI (Heat). Validates the promoted Turner +2.0 (post-Giannis MIL); reopens the standing Giannis none (now on MIA, not MIL) + the Turner/Rollins/Herro/KPJ vacated-MIL-usage picture + Bam Adebayo's usage on the Heat,2026-07-20-bounceback-candidates.md
2026-07-20,Trae Young,WAS,role,up,"'do you realize Trae played just 25 and a half minutes a game?' usage 27 = career low; targets 8-9 ast / 24 pts / 2.5 threes / a steal / 86 FT; 'throw nine minutes onto his totals'; 'more a 35% than a 38% three guy'; Wizards starting PG, the 'play off ball MORE' quote was misquoted (just 'off ball') — reaffirms the standing 07-17 read",2026-07-20-bounceback-candidates.md
2026-07-20,John Collins,DET,role,up,power-forward depth behind him is 'putrid' (only Assar Thompson / Ron Holland); 'going to play the 30-31 minutes that Toby did versus the 27 he played last season'; ~20% usage 'ticks up one or two%'; a consistent ~8-reb player (only 5 in 27 mpg last year); FT 85->77 should bounce back,2026-07-20-bounceback-candidates.md
2026-07-20,Zach LaVine,SAC,role,up,"Schroder, Westbrook and DeRozan all gone (had been sharing touches with all of them + Sabonis/Monk); 'expect more usage and more importantly more ball-handling opportunities'; incoming rookie ('Darius Akoff Jr'? garbled) 'is going to have the ball'; suffered a season-ending injury late (recovered)",2026-07-20-bounceback-candidates.md
2026-07-20,Domantas Sabonis,SAC,role,up,"played only ~19 games (injured, then re-injured); 23 usage / 29.7 mpg / 16-11-4, everything down — FG 59->54, 3PT 38-42->19 (fluke-low), FT and blocks off too; '26th ranked the year before... I don't expect that, but very difficult to believe he stays this bad'; DeRozan no longer there",2026-07-20-bounceback-candidates.md
2026-07-20,Ivica Zubac,IND,role,up,"career-high 33 mpg the year before (60th ranked); 'this season just 30' then only 6 cameo games in Indiana after an ankle injury; backup is only Jay Huff ('Zubac is just way better'), Potter gone; Carlisle 'should give him more than 30 minutes, 31, 32 maybe'; FG% dropped, usage 20->18.5, blocks under 1 for the first time in 3 years — all bounce-back candidates",2026-07-20-bounceback-candidates.md
2026-07-20,Jalen Williams,OKC,role,up,"28 mpg / 17 pts; efficiency cratered (62 TS -> 56) after a wrist injury + multiple hamstrings; 3PT 30% (37% the year before) should bump; 'a bit more usage on a team that lost Wiggins, Joe, and Lou Dort'; blocks .3->.6 'could easily double', steals 1.2->1.4; 'just give him four extra minutes a game'",2026-07-20-bounceback-candidates.md
2026-07-20,Malik Monk,SAC,role,down,'Malik Monk's not going to elevate back into a 29-minute-a-night role. It does seem pretty clear that coach Doug Christie and the front office hate him' — minutes capped going forward,2026-07-20-bounceback-candidates.md
